month,campaign_id,metric_type,movie,count
2026-06,1,click,star-trek,411
2026-08,1,click,harry-potter,380
2026-06,3,click,harry-potter,367
2026-06,1,click,dune,346
2026-09,1,click,star-wars,343
2026-07,3,click,lord-of-the-rings,337
2026-07,2,click,harry-potter,333
2026-07,4,click,star-wars,312
2026-06,4,click,lord-of-the-rings,301
2026-07,1,click,star-trek,300
2026-08,3,click,star-wars,288
2026-08,2,click,lord-of-the-rings,278
2026-07,3,click,harry-potter,264
2026-07,1,click,dune,256
2026-06,2,click,star-trek,255
2026-07,4,click,lord-of-the-rings,246
2026-09,1,click,lord-of-the-rings,236
2026-08,4,click,star-wars,231
2026-08,2,click,harry-potter,225
2026-09,2,click,star-wars,224
2026-06,2,click,dune,219
2026-08,3,click,lord-of-the-rings,213
2026-06,4,click,harry-potter,202
2026-06,3,click,star-trek,193
2026-08,1,click,star-trek,187
2026-09,1,click,harry-potter,186
2026-07,2,click,star-trek,171
2026-08,1,click,dune,169
2026-06,5,click,star-wars,162
2026-08,3,click,harry-potter,156
2026-09,2,click,lord-of-the-rings,152
2026-06,1,click,the-matrix,151
2026-07,4,click,harry-potter,148
2026-07,5,click,star-wars,146
2026-09,3,click,star-wars,138
2026-06,3,click,dune,137
2026-08,4,click,lord-of-the-rings,134
2026-07,2,click,dune,132
2026-07,3,click,star-trek,124
2026-06,5,click,lord-of-the-rings,122
2026-08,2,click,dune,120
2026-09,2,click,harry-potter,115
2026-07,1,click,the-matrix,114
2026-08,2,click,star-trek,113
2026-06,4,click,star-trek,111
2026-08,4,click,harry-potter,110
2026-09,3,click,lord-of-the-rings,106
2026-07,3,click,dune,105
2026-07,5,click,lord-of-the-rings,105
2026-06,2,click,the-matrix,101
2026-09,4,click,star-wars,97
2026-08,3,click,star-trek,96
2026-07,4,click,star-trek,94
2026-09,1,click,star-trek,92
2026-06,4,click,dune,90
2026-09,1,click,dune,76
2026-08,1,click,the-matrix,75
2026-06,5,click,harry-potter,75
2026-09,3,click,harry-potter,74
2026-08,3,click,dune,74
2026-07,4,click,dune,73
2026-08,5,click,star-wars,72
2026-07,2,click,the-matrix,71
2026-08,4,click,star-trek,70
2026-06,3,click,the-matrix,69
2026-09,2,click,star-trek,61
2026-08,5,click,lord-of-the-rings,61
2026-09,4,click,harry-potter,58
2026-09,4,click,lord-of-the-rings,56
2026-07,5,click,harry-potter,54
2026-09,2,click,dune,48
2026-06,4,click,the-matrix,47
2026-09,5,click,star-wars,45
2026-07,3,click,the-matrix,43
2026-06,5,click,star-trek,43
2026-08,5,click,harry-potter,39
2026-08,2,click,the-matrix,39
2026-08,4,click,dune,39
2026-09,1,click,the-matrix,36
2026-09,3,click,star-trek,34
2026-06,5,click,dune,34
2026-07,5,click,star-trek,34
2026-07,4,click,the-matrix,33
2026-08,3,click,the-matrix,31
2026-09,2,click,the-matrix,29
2026-09,4,click,dune,28
2026-09,4,click,star-trek,28
2026-09,3,click,dune,28
2026-08,5,click,dune,28
2026-07,5,click,dune,27
2026-08,5,click,star-trek,27
2026-09,5,click,lord-of-the-rings,26
2026-09,5,click,harry-potter,24
2026-08,4,click,the-matrix,22
2026-09,3,click,the-matrix,19
2026-09,4,click,the-matrix,18
2026-09,5,click,star-trek,18
2026-06,5,click,the-matrix,15
2026-07,5,click,the-matrix,15
2026-08,5,click,the-matrix,14
2026-09,5,click,dune,11
2026-09,5,click,the-matrix,2
2026-06,1,impression,star-wars,4039
2026-07,1,impression,star-wars,2959
2026-06,1,impression,lord-of-the-rings,2826
2026-06,2,impression,star-wars,2543
2026-07,1,impression,lord-of-the-rings,2094
2026-08,1,impression,star-wars,1963
2026-06,1,impression,harry-potter,1936
2026-07,2,impression,star-wars,1907
2026-06,3,impression,star-wars,1789
2026-06,2,impression,lord-of-the-rings,1700
2026-07,1,impression,harry-potter,1463
2026-08,1,impression,lord-of-the-rings,1423
2026-07,3,impression,star-wars,1337
2026-07,2,impression,lord-of-the-rings,1336
2026-06,3,impression,lord-of-the-rings,1242
2026-08,2,impression,star-wars,1218
2026-06,2,impression,harry-potter,1206
2026-06,1,impression,star-trek,1122
2026-06,4,impression,star-wars,1112
2026-08,1,impression,harry-potter,1036
2026-09,1,impression,star-wars,983
2026-08,3,impression,star-wars,947
2026-07,2,impression,harry-potter,940
2026-07,3,impression,lord-of-the-rings,934
2026-06,1,impression,dune,924
2026-06,3,impression,harry-potter,904
2026-07,1,impression,star-trek,879
2026-06,4,impression,lord-of-the-rings,877
2026-08,2,impression,lord-of-the-rings,864
2026-07,4,impression,star-wars,846
2026-09,1,impression,lord-of-the-rings,734
2026-07,3,impression,harry-potter,730
2026-06,2,impression,star-trek,708
2026-07,1,impression,dune,680
2026-06,4,impression,harry-potter,659
2026-08,2,impression,harry-potter,643
2026-09,2,impression,star-wars,623
2026-08,4,impression,star-wars,619
2026-07,4,impression,lord-of-the-rings,613
2026-08,3,impression,lord-of-the-rings,586
2026-06,2,impression,dune,561
2026-08,1,impression,star-trek,552
2026-06,3,impression,star-trek,510
2026-07,2,impression,star-trek,507
2026-09,1,impression,harry-potter,502
2026-06,5,impression,star-wars,484
2026-08,3,impression,harry-potter,465
2026-06,1,impression,the-matrix,462
2026-07,2,impression,dune,447
2026-07,4,impression,harry-potter,444
2026-09,3,impression,star-wars,442
2026-09,2,impression,lord-of-the-rings,439
2026-08,1,impression,dune,428
2026-08,4,impression,lord-of-the-rings,418
2026-06,3,impression,dune,398
2026-07,3,impression,star-trek,397
2026-07,1,impression,the-matrix,368
2026-07,5,impression,star-wars,362
2026-06,5,impression,lord-of-the-rings,332
2026-08,2,impression,star-trek,331
2026-06,4,impression,star-trek,331
2026-08,4,impression,harry-potter,325
2026-09,3,impression,lord-of-the-rings,318
2026-06,4,impression,dune,316
2026-09,2,impression,harry-potter,312
2026-09,4,impression,star-wars,303
2026-07,3,impression,dune,296
2026-08,2,impression,dune,290
2026-09,1,impression,star-trek,264
2026-07,5,impression,lord-of-the-rings,255
2026-06,2,impression,the-matrix,253
2026-08,3,impression,star-trek,244
2026-09,3,impression,harry-potter,239
2026-08,5,impression,star-wars,238
2026-07,4,impression,star-trek,235
2026-09,1,impression,dune,230
2026-07,4,impression,dune,214
2026-06,5,impression,harry-potter,204
2026-07,2,impression,the-matrix,204
2026-08,1,impression,the-matrix,201
2026-06,3,impression,the-matrix,195
2026-09,4,impression,lord-of-the-rings,195
2026-08,5,impression,lord-of-the-rings,183
2026-08,3,impression,dune,182
2026-09,2,impression,star-trek,168
2026-07,5,impression,harry-potter,165
2026-08,4,impression,star-trek,158
2026-09,4,impression,harry-potter,153
2026-08,4,impression,dune,139
2026-07,3,impression,the-matrix,139
2026-06,5,impression,star-trek,136
2026-08,5,impression,harry-potter,132
2026-09,3,impression,star-trek,132
2026-08,2,impression,the-matrix,130
2026-09,2,impression,dune,128
2026-09,1,impression,the-matrix,126
2026-06,4,impression,the-matrix,125
2026-09,5,impression,star-wars,123
2026-06,5,impression,dune,114
2026-07,5,impression,star-trek,111
2026-08,3,impression,the-matrix,108
2026-09,3,impression,dune,97
2026-07,4,impression,the-matrix,96
2026-07,5,impression,dune,89
2026-09,4,impression,star-trek,79
2026-09,4,impression,dune,74
2026-09,5,impression,lord-of-the-rings,73
2026-09,2,impression,the-matrix,72
2026-09,5,impression,harry-potter,71
2026-08,5,impression,dune,67
2026-08,5,impression,star-trek,65
2026-08,4,impression,the-matrix,63
2026-06,5,impression,the-matrix,61
2026-09,3,impression,the-matrix,55
2026-09,5,impression,star-trek,34
2026-07,5,impression,the-matrix,34
2026-08,5,impression,the-matrix,34
2026-09,4,impression,the-matrix,32
2026-09,5,impression,dune,25
2026-09,5,impression,the-matrix,9
